"country","CODE","pop2018","pop2019","pop2020","pop2021","pop2022","pop2023","pop2024","pop2025","pop2026","pop2027","pop2028","pop2029","pop2030","pop2031","pop2032","pop2033","pop2034","pop2035","pop2036","pop2037","pop2038","pop2039","pop2040","pop2041","pop2042","pop2043","pop2044","pop2045","pop2046","pop2047","pop2048","pop2049","pop2050","pop2051","pop2052","pop2053","pop2054","pop2055","pop2056","pop2057","pop2058","pop2059","pop2060","pop2061","pop2062","pop2063","pop2064","pop2065","pop2066","pop2067","pop2068","pop2069","pop2070","Country.code","Continent","endemic","pop2015","HDI","Percent.Urban","urban_dogs_Knoble","rural_dogs_Knoble","total_dogs_Knoble","rural_HDR","urban_HDR","Business.Plan.Phase","cluster","gavi","gavi_2018","prop_urban","p_rabid","p_rabid_n","p_rabid_source","p_rabid_setting","p_seek","p_seek_n","p_receive","p_receive_n","p_complete","p_complete_n","vaccine_paid_by_patient","RIG_usage","RIG_paid_by_patient","ID","ID_prop","tot_dog_pop","dog_pop_setting","cost_first_visit","cost_followup_visit","ID_2015","price_per_vial","price_per_vial_RIG","exp_inc","bite_inc","LCI_exp_inc","UCI_exp_inc","LCI_bite_inc","UCI_bite_inc","vaccine_free_SQ","vaccine_gavi","preds_SQ","preds_SQ_LCI","preds_SQ_UCI","preds_gavi","preds_gavi_LCI","preds_gavi_UCI","p_seek_SQ","pseek_gavi","pseek_norm_SQ","pseek_norm_gavi"
"Azerbaijan","AZE",9923914,10014575,10099743,10179146,10252564,10320433,10383416,10442074,10496551,10546995,10593977,10638202,10680202,10720233,10758354,10794574,10828788,10860905,10891006,10919100,10944978,10968335,10988920,11006695,11021665,11033792,11043035,11049380,11052844,11053445,11051298,11046509,11039198,11029440,11017348,11003094,10986923,10969019,10949509,10928488,10906056,10882343,10857437,10831458,10804472,10776506,10747569,10717685,10686902,10655310,10622976,10589951,10556306,"AZE","Europe",1,9651349,0.731,55,811010,673813,1484823,6.5,6.5,"II","asia",TRUE,FALSE,0.54895,0.437333333333333,NA,NA,NA,0.76,NA,0.7535,NA,0.752935142873257,NA,NA,FALSE,NA,FALSE,NA,NA,NA,10.8655392332728,7.96356291659257,FALSE,13.3303857045048,40.7050716806503,0.000566732545748762,0.0298280287236191,0.00043022768238746,0.000936494217320173,0.00497133812060318,0.0497133812060318,FALSE,TRUE,0.00225276867389835,0.000810410853884001,0.00626221462086212,0.00662319629418289,0.00247150103877132,0.0177490231495455,0.76,0.9,0.0610852281259378,0.204946061291954
"Bahamas","BHS",399285,403095,406839,410556,414225,417836,421345,424732,427995,431152,434193,437109,439896,442558,445094,447498,449791,451970,454048,456009,457876,459657,461356,462992,464554,466055,467495,468871,470201,471466,472678,473820,474894,475887,476815,477670,478466,479187,479854,480447,480991,481468,481894,482265,482580,482841,483047,483218,483327,483392,483409,483378,483291,"BHS","Americas",0,388019,0.771,83,42876,8860,51736,7.5,7.5,NA,"free",FALSE,FALSE,0.82951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,31.2316275862325,22.8997463627727,FALSE,70.4481273587036,NA,0.000495436956793075,0.0260756293048987,0.000376104558118447,0.0008186821959738,0.00434593821748311,0.0434593821748311,TRUE,TRUE,0.00345352052463013,0.000678138693019755,0.0175875586171487,0.00345352052463013,0.000678138693019755,0.0175875586171487,NA,0.9,NA,0.115342461282472
"Bahrain","BHR",1566993,1637896,1697765,1744295,1780088,1808443,1834610,1862403,1892624,1923911,1955379,1985491,2013135,2038230,2061334,2082715,2102822,2121977,2140273,2157659,2174245,2190078,2205227,2219779,2233764,2247214,2260119,2272490,2284352,2295744,2306658,2317118,2327108,2336662,2345765,2354459,2362761,2370681,2378234,2385422,2392228,2398630,2404625,2410200,2415358,2420088,2424380,2428211,2431599,2434509,2436940,2438877,2440312,"BHR","Asia",1,1377237,0.806,89,163019,10811,173830,14.3,7.5,NA,"endemic",FALSE,FALSE,0.88835,NA,NA,NA,NA,NA,NA,NA,NA,0.58,NA,NA,NA,NA,FALSE,NA,NA,NA,30.1179699841177,22.0753094267028,FALSE,34.6826982138155,93.9663085994578,0.000409371571464067,0.0215458721823193,0.000310769133954723,0.000676463902218392,0.00359097869705322,0.0359097869705322,TRUE,TRUE,0.00348130510962347,0.000578055969332168,0.0209659373992664,0.00348130510962347,0.000578055969332168,0.0209659373992664,NA,0.9,NA,0.14447643005421
"Bangladesh","BGD",166368149,168065920,169775309,171499635,173229209,174947406,176631129,178262909,179836355,181353356,182814797,184224428,185584811,186894662,188151243,189354346,190504057,191600525,192643385,193632754,194569933,195456694,196294312,197083468,197823881,198514781,199154932,199743520,200280556,200766709,201202569,201589015,201926816,202216426,202458202,202652694,202800474,202902150,202958329,202969671,202936785,202860299,202740914,202579349,202376377,202132813,201849522,201527366,201167118,200769645,200336036,199867499,199365088,"BGD","Asia",1,160995642,0.5,34,7357930,7399382,1357930,14.3,7.5,"I","asia",TRUE,TRUE,0.35035,0.437333333333333,NA,NA,NA,0.76,NA,0.7535,NA,0.752935142873257,NA,FALSE,TRUE,FALSE,TRUE,1,1357930,NA,3.66518947573299,2.68692667252273,TRUE,5.925,70.5633321604252,0.0000312560973841641,0.00164505775706127,0.0000237276620849422,0.0000516489738869558,0.000274176292843544,0.00274176292843544,TRUE,TRUE,0.0034914415114936,0.0018623725174136,0.00654550242456862,0.0034914415114936,0.0018623725174136,0.00654550242456862,0.76,0.9,1,1
"Barbados","BRB",286388,287010,287568,288071,288529,288928,289261,289538,289757,289908,290004,290040,290010,289938,289791,289599,289355,289050,288698,288296,287854,287367,286843,286293,285708,285095,284460,283799,283124,282438,281733,281024,280310,279604,278886,278176,277482,276792,276122,275451,274789,274155,273535,272931,272344,271773,271220,270677,270149,269638,269134,268649,268169,"BRB","Americas",0,284215,0.793,31,11928,25968,37895,7.5,7.5,NA,"free",FALSE,FALSE,0.31415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,28.480034860296,20.8822154119059,FALSE,70.4481273587036,NA,0.000498694193345524,0.0262470628076592,0.000378577247120446,0.00082406459939971,0.0043745104679432,0.043745104679432,TRUE,TRUE,0.0191880225225484,0.00759814046975751,0.048456620378535,0.0191880225225484,0.00759814046975751,0.048456620378535,NA,0.9,NA,0.713954086438543
"Belarus","BLR",9452113,9433874,9415431,9397050,9377930,9357681,9335640,9311380,9284893,9256512,9226508,9195266,9163118,9130206,9096649,9062760,9028926,8995426,8962430,8930010,8898297,8867377,8837337,8808218,8780024,8752613,8725793,8699407,8673379,8647680,8622150,8596611,8570898,8544963,8518766,8492247,8465358,8438076,8410386,8382316,8353916,8325295,8296549,8267719,8238874,8210118,8181588,8153400,8125627,8098349,8071646,8045662,8020485,"BLR","Europe",1,9513000,0.756,77,1122051,341487,1463538,6.5,6.5,NA,"endemic",FALSE,FALSE,0.77046,NA,NA,NA,NA,NA,NA,NA,NA,0.58,NA,NA,NA,NA,FALSE,NA,NA,NA,6.11820161760451,4.48332289247328,FALSE,34.6826982138155,93.9663085994578,0.000581787667654383,0.030620403560757,0.000441656583469818,0.000961371974405812,0.0051034005934595,0.051034005934595,TRUE,TRUE,0.00382169453028878,0.000873297595820271,0.0167243665306563,0.00382169453028878,0.000873297595820271,0.0167243665306563,NA,0.9,NA,0.107708757752189
"Belgium","BEL",11498519,11562784,11619972,11669155,11711336,11748557,11783859,11819487,11856107,11893179,11930295,11966633,12001594,12035200,12067775,12099350,12129970,12159663,12188440,12216266,12243125,12269006,12293880,12317742,12340605,12362469,12383341,12403243,12422194,12440194,12457232,12473248,12488233,12502201,12515235,12527427,12538866,12549705,12559984,12569767,12579191,12588375,12597441,12606449,12615469,12624568,12633826,12643295,12653016,12663015,12673268,12683746,12694403,"BEL","Europe",0,11285721,0.886,98,1699074,37191,1736265,6.5,6.5,NA,"free",FALSE,FALSE,0.97897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,46.5348600204613,34.1099078761917,FALSE,70.4481273587036,NA,0.000574436798967418,0.0302335157351272,0.000436076266577043,0.000949225070069257,0.00503891928918787,0.0503891928918787,TRUE,TRUE,0.00406141955500218,0.000506744478072636,0.0325511762150662,0.00406141955500218,0.000506744478072636,0.0325511762150662,NA,0.9,NA,0.117235007234483
"Belize","BLZ",382444,390231,398007,405765,413509,421210,428847,436398,443865,451221,458472,465640,472702,479672,486544,493312,499968,506511,512945,519274,525489,531605,537621,543534,549358,555077,560702,566238,571685,577033,582273,587415,592420,597316,602081,606717,611225,615599,619850,623962,627937,631773,635466,639004,642406,645652,648759,651732,654568,657263,659819,662247,664545,"BLZ","Americas",0,359287,0.699,44,21065,26840,47905,7.5,7.5,NA,"free",FALSE,FALSE,0.43845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,22.264817735784,16.3250755257954,FALSE,70.4481273587036,NA,0.000487679904226125,0.0256673633803224,0.000370215891986476,0.000805864095219062,0.0042778938967204,0.042778938967204,TRUE,TRUE,0.00783643925749923,0.00358465735994132,0.017131283152117,0.00783643925749923,0.00358465735994132,0.017131283152117,NA,0.9,NA,0.288207527749693
"Benin","BEN",11485674,11801595,12122985,12449613,12781511,13118725,13461351,13809467,14162973,14521715,14885608,15254549,15628437,16007138,16390564,16778622,17171208,17568229,17969567,18375045,18784441,19197485,19613944,20033640,20456429,20882131,21310569,21741574,22174967,22610581,23048329,23488116,23929846,24373388,24818542,25265096,25712796,26161405,26610714,27060566,27510929,27961798,28413096,28864707,29316363,29767686,30218228,30667609,31115560,31561943,32006601,32449448,32890347,"BEN","Africa",1,10879829,0.427,44,225551,824074,1049625,7.4,21.2,"I","west africa",TRUE,TRUE,0.44395,0.630702150537634,NA,NA,NA,0.523333333333333,NA,0.686529569892473,NA,0.421566924066924,NA,TRUE,FALSE,NA,FALSE,NA,NA,NA,5.19238755705189,3.80897348912037,FALSE,14.910795,83.3659371704296,0.000367148805979731,0.0193236213673543,0.00027871626761666,0.000606693115253784,0.00322060356122571,0.0322060356122571,FALSE,TRUE,0.000597815327141232,0.000393888794267194,0.000907319960776917,0.0017575920267374,0.000749545318663765,0.0041213381706632,0.523333333333333,0.9,0.020993690104271,0.0738556233443237
"Bhutan","BTN",817054,826229,835245,844152,852909,861502,869835,877866,885608,893058,900219,907107,913697,920013,926035,931797,937288,942541,947543,952313,956838,961150,965239,969113,972767,976219,979449,982468,985267,987846,990201,992324,994203,995848,997251,998393,999275,999896,1000243,1000328,1000154,999700,998991,998022,996800,995320,993604,991645,989456,987042,984420,981620,978656,"BTN","Asia",1,774830,0.522,39,39923,33245,73168,14.3,7.5,"I","asia",TRUE,FALSE,0.39377,0.66,96,"vet_test","country",0.92,NA,0.954,27285,0.519,27128,FALSE,TRUE,FALSE,TRUE,1,116657,"country",10.5054159376485,7.70145240358181,TRUE,2.91,43,0.000342368904373323,0.0180194160196486,0.000259904925797867,0.000565745697050539,0.00300323600327476,0.0300323600327476,TRUE,TRUE,0.00343986274981569,0.00178970314228818,0.006611518669203,0.00343986274981569,0.00178970314228818,0.006611518669203,0.92,0.9,0.173417571045856,0.173797571045856
"Bolivia","BOL",11215674,11379861,11543982,11707900,11871548,12034817,12197607,12359800,12521289,12681951,12841692,13000430,13158072,13314514,13469646,13623258,13775145,13925118,14073053,14218881,14362574,14504068,14643343,14780322,14914944,15047177,15177004,15304402,15429333,15551747,15671597,15788850,15903460,16015391,16124589,16231016,16334630,16435396,16533279,16628238,16720182,16809022,16894692,16977149,17056386,17132392,17205154,17274698,17341012,17404099,17463988,17520730,17574360,"BOL","Americas",1,10724705,0.663,69,979695,450266,1429961,7.5,7.5,"I","americas",TRUE,FALSE,0.68911,0.609201552437567,NA,NA,NA,0.632,NA,0.382,NA,0.6549,NA,NA,FALSE,NA,FALSE,NA,NA,NA,5.97146790065811,4.37681454204919,FALSE,70.0427872499858,240.458702734493,0.000495670914550564,0.0260879428710823,0.000376282164124201,0.000819068798240829,0.00434799047851372,0.0434799047851372,FALSE,TRUE,0.00100886227447696,0.000344644445791094,0.00295319742213331,0.00296608034152654,0.000863555071857896,0.0101876914155139,0.632,0.9,0.0266635916798197,0.0965954475936984
"Bosnia and Herzegovina","BIH",3503554,3501774,3498210,3492068,3484272,3475209,3465710,3456355,3447047,3437330,3427113,3416294,3404781,3392547,3379602,3365918,3351518,3336402,3320576,3304067,3286939,3269285,3251170,3232655,3213757,3194583,3175210,3155712,3136147,3116537,3096969,3077486,3058143,3038972,3019986,3001179,2982526,2964034,2945690,2927489,2909373,2891286,2873153,2854980,2836747,2818429,2800032,2781521,2762912,2744200,2725398,2706525,2687595,"BIH","Europe",1,3810416,0.733,40,233121,353097,586218,6.5,6.5,NA,"endemic",FALSE,FALSE,0.3994,NA,NA,NA,NA,NA,NA,NA,NA,0.58,NA,NA,NA,NA,FALSE,NA,NA,NA,3.89970468294155,2.85816864924718,FALSE,21.9667864868711,93.9663085994578,0.000623131112272108,0.0327963743301109,0.000473041924744508,0.00102968973222479,0.00546606238835182,0.0546606238835183,TRUE,TRUE,0.0106376072869867,0.0047553340290035,0.0237961598705748,0.0106376072869867,0.0047553340290035,0.0237961598705748,NA,0.9,NA,0.307253148915613
"Botswana","BWA",2333201,2374636,2415766,2456456,2496655,2536346,2575556,2614316,2652576,2690295,2727485,2764200,2800433,2836201,2871485,2906315,2940691,2974633,3008144,3041200,3073802,3105935,3137601,3168771,3199418,3229517,3259013,3287868,3316051,3343538,3370292,3396262,3421404,3445682,3469099,3491627,3513250,3533966,3553754,3572621,3590561,3607581,3623686,3638884,3653198,3666648,3679278,3691108,3702169,3712492,3722108,3731067,3739405,"BWA","Africa",1,2262485,0.633,57,61305,130111,191416,7.4,21.2,"II","endemic",FALSE,FALSE,0.5771,NA,NA,NA,NA,NA,NA,NA,NA,0.58,NA,NA,NA,NA,FALSE,NA,NA,NA,35.7245823662231,26.2045190748471,FALSE,34.6826982138155,93.9663085994578,0.000318482753415716,0.0167622501797745,0.000241772063224974,0.000526275152410684,0.00279370836329575,0.0279370836329575,TRUE,TRUE,0.00356437415498171,0.00135523412114261,0.00937458917134564,0.00356437415498171,0.00135523412114261,0.00937458917134564,NA,0.9,NA,0.195542939745794
"Brazil","BRA",210867954,212392717,213863046,215277900,216635951,217937210,219181979,220370552,221502809,222578675,223598520,224562876,225472214,226326815,227126881,227872682,228564481,229202582,229787484,230319644,230799257,231226480,231601656,231925066,232197512,232420421,232595537,232724279,232807383,232845132,232837778,232785372,232688044,232546318,232360630,232130794,231856495,231537607,231174505,230767874,230318313,229826557,229293394,228719635,228106117,227453767,226763549,226036562,225274022,224477271,223647626,222786472,221895313,"BRA","Americas",1,207847528,0.718,86,23746442,3966562,27713004,7.5,7.5,"II","endemic",FALSE,FALSE,0.85933,NA,NA,NA,NA,NA,NA,NA,NA,0.58,NA,NA,NA,NA,FALSE,NA,NA,NA,13.6794809508084,10.0301094862606,FALSE,15.5478593138871,93.9663085994578,0.000499161245359529,0.0262716444926068,0.000378931803616358,0.000824836377046122,0.00437860741543446,0.0437860741543446,TRUE,TRUE,0.00236109650265011,0.000442294996893119,0.0126042047366268,0.00236109650265011,0.000442294996893119,0.0126042047366268,NA,0.9,NA,0.0727724289343425
"Brunei Darussalam","BRN",434076,439336,444519,449613,454592,459448,464176,468771,473231,477556,481742,485774,489666,493412,496991,500435,503716,506838,509810,512631,515306,517829,520202,522457,524557,526531,528383,530096,531681,533142,534479,535674,536723,537632,538404,539029,539509,539860,540064,540139,540077,539889,539575,539145,538593,537937,537179,536327,535379,534354,533249,532081,530850,"BRN","Asia",0,423188,0.838,77,43561,6747,50308,14.3,7.5,NA,"free",FALSE,FALSE,0.77505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,44.3582203527397,32.5160156325784,FALSE,70.4481273587036,NA,0.00044333653870965,0.02333350203735,0.000336553199560355,0.000732589133874063,0.003888917006225,0.03888917006225,TRUE,TRUE,0.00588262098299144,0.0012291859187721,0.0281529662039247,0.00588262098299144,0.0012291859187721,0.0281529662039247,NA,0.9,NA,0.235010505040139
"Bulgaria","BGR",7036848,6988739,6940527,6892210,6843583,6794495,6744760,6694229,6642909,6590868,6538137,6484770,6430847,6376395,6321526,6266489,6211611,6157135,6103183,6049788,5997076,5945164,5894132,5844039,5794882,5746569,5698961,5651925,5605435,5559473,5513950,5468779,5423867,5379183,5334697,5290342,5246053,5201794,5157553,5113351,5069191,5025108,4981147,4937332,4893731,4850462,4807686,4765543,4724106,4683418,4643597,4604764,4567025,"BGR","Europe",1,7177991,0.771,74,816612,287694,1104306,6.5,6.5,NA,"endemic",FALSE,FALSE,0.74266,NA,NA,NA,NA,NA,NA,NA,NA,0.58,NA,NA,NA,NA,FALSE,NA,NA,NA,6.12952587014603,4.49244753149644,FALSE,22.9473764890146,93.9663085994578,0.000581044054419899,0.0305812660221,0.000441092079100228,0.000960143194623814,0.00509687767034999,0.0509687767034999,TRUE,TRUE,0.00451881358016639,0.00108779571130803,0.018771609374836,0.00451881358016639,0.00108779571130803,0.018771609374836,NA,0.9,NA,0.130664110776212
"Burkina Faso","BFA",19751651,20321560,20903345,21496961,22102342,22719682,23349262,23991225,24645549,25312044,25990540,26680772,27382488,28095447,28819358,29553841,30298440,31052714,31816280,32588733,33369534,34158075,34953797,35756300,36565204,37379889,38199768,39024308,39853032,40685652,41522143,42362617,43207053,44055230,44906697,45760920,46617273,47475204,48334320,49194359,50055102,50916382,51778001,52639580,53500714,54361074,55220315,56078054,56933922,57787460,58638114,59485278,60328379,"BFA","Africa",1,18105570,0.331,30,255007,1716139,1971146,7.4,21.2,"II","west africa",TRUE,TRUE,0.30688,0.630702150537634,NA,NA,NA,0.523333333333333,NA,0.686529569892473,NA,0.421566924066924,NA,NA,FALSE,NA,FALSE,NA,NA,NA,3.03659413291455,2.22755070211072,FALSE,14.910795,83.3659371704296,0.000402854025081915,0.0212028434253639,0.000305821422912045,0.000665694016945723,0.00353380723756066,0.0353380723756066,FALSE,TRUE,0.000542407897177458,0.000322555096927791,0.000912111852277861,0.00159469279564537,0.000641984683064242,0.00396122396619354,0.523333333333333,0.9,0.0156385136999095,0.0581112706608828
"Burundi","BDI",11216450,11575964,11939227,12305457,12675470,13049303,13427343,13810006,14197139,14588733,14985535,15388616,15798849,16216487,16641716,17075250,17517888,17970195,18432401,18904397,19386058,19877068,20377076,20885948,21403341,21928513,22460525,22998539,23542141,24090950,24644319,25201545,25762044,26325440,26891487,27459946,28030640,28603449,29178168,29754726,30333360,30914416,31498166,32084542,32673443,33265055,33859597,34457167,35057683,35660871,36266362,36873658,37482273,"BDI","Africa",1,11178921,0.316,12,63577,1328524,1392102,7.4,21.2,"II","east africa",TRUE,TRUE,0.12359,0.759569173441734,NA,NA,NA,0.660495295536791,NA,0.542664406779661,NA,0.412872392638037,NA,NA,FALSE,NA,FALSE,NA,NA,NA,3.32298006980622,2.43745591473252,FALSE,21.2092467132088,167.691025010811,0.000501591392093863,0.0263995469523086,0.000380776618079929,0.000828852060248039,0.00439992449205143,0.0439992449205143,FALSE,TRUE,0.000881759137130413,0.000372948526989329,0.00208473588081825,0.00259239393599077,0.000953811838804825,0.00704594559004723,0.660495295536791,0.9,0.0208511298835956,0.0810984251727497
"Cabo Verde","CPV",553335,560349,567348,574312,581247,588146,595016,601854,608651,615385,622042,628608,635072,641408,647630,653712,659663,665467,671121,676628,681976,687170,692212,697101,701821,706387,710805,715082,719211,723188,727022,730694,734199,737529,740697,743704,746529,749193,751689,754013,756160,758131,759914,761513,762933,764161,765196,766042,766696,767151,767424,767501,767399,"CPV","Africa",0,520502,0.568,66,16088,24248,40336,7.4,21.2,NA,"free",FALSE,FALSE,0.66187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.89262007849374,3.58907342053117,NA,70.4481273587036,NA,0.000281634366369995,0.0148228613878945,0.000213799086770178,0.000465385228857235,0.00247047689798241,0.0247047689798241,TRUE,TRUE,0.00192594742032865,0.000594831479765137,0.006235839211696,0.00192594742032865,0.000594831479765137,0.006235839211696,NA,0.9,NA,0.112830879735645
"Cambodia","KHM",16245729,16482646,16715508,16943711,17166941,17385301,17599113,17808685,18013910,18214806,18411936,18606102,18797878,18987419,19174678,19359792,19542826,19723795,19902725,20079472,20253651,20424780,20592416,20756393,20916573,21072481,21223615,21369568,21510112,21645224,21774972,21899525,22019028,22133468,22242808,22347095,22446452,22540932,22630596,22715466,22795622,22871178,22942211,23008804,23070929,23128512,23181467,23229699,23273276,23312223,23346517,23376078,23400907,"KHM","Asia",1,15577899,0.523,21,430428,863615,5491129,14.3,7.5,"I","asia",TRUE,TRUE,0.20945,0.492,1214,"vet_test","mixed",0.76,NA,0.7535,NA,0.952,10437,TRUE,TRUE,TRUE,TRUE,NA,5491129,"rural",3.02022340651932,2.21474982950221,TRUE,11,18.5,0.00130505452712369,0.068687080374931,0.000990715265614183,0.00215653049592223,0.0114478467291552,0.114478467291552,FALSE,TRUE,0.00208138354409116,0.000994707936341197,0.00435520548227285,0.00611931972231422,0.00323853918458459,0.0115626434418786,0.76,0.9,0.0158624023255881,0.0719898213887049
"Cameroon","CMR",24678234,25312993,25958184,26613765,27279608,27955755,28642234,29339083,30046222,30763659,31491572,32230190,32979644,33739916,34510776,35291925,36083001,36883632,37693541,38512499,39340228,40176449,41020839,41873089,42732805,43599435,44472363,45351038,46235002,47123910,48017458,48915384,49817390,50723131,51632155,52543939,53457903,54373521,55290408,56208250,57126770,58045717,58964821,59883731,60802097,61719785,62636676,63552600,64467271,65380248,66291024,67198981,68103572,"CMR","Africa",1,23344179,0.482,54,598811,1439106,2037917,7.4,21.2,"II","west africa",TRUE,TRUE,0.54938,0.7416,89,"vet_test","country",0.523333333333333,NA,0.56,925,0.544401544401544,518,TRUE,TRUE,TRUE,FALSE,0,2525606,NA,6.4194952123063,4.70914137433488,FALSE,15.5,83.3659371704296,0.000331404306308354,0.017442331910966,0.000251581292985199,0.000547627304591683,0.00290705531849434,0.0290705531849434,FALSE,TRUE,0.000581570644529137,0.000320431899217373,0.00105552666698952,0.00170983225320929,0.00064378542433665,0.00454115023981343,0.523333333333333,0.9,0.0233991490536406,0.0809277328706445
"Canada","CAN",36953765,37279811,37603205,37924162,38242226,38556901,38867347,39172922,39473509,39768996,40058684,40341729,40617535,40885845,41146793,41400585,41647652,41888356,42122835,42351232,42573987,42791656,43004685,43213307,43417729,43618491,43816206,44011310,44204258,44395028,44583147,44767833,44948602,45125391,45298656,45469060,45637507,45804729,45970922,46136128,46300685,46464936,46629079,46793233,46957330,47121208,47284623,47447273,47609126,47769972,47929183,48085970,48239730,"CAN","Americas",0,35851774,0.908,82,3911572,868665,4780237,7.5,7.5,NA,"free",FALSE,FALSE,0.82006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,47.3960682162337,34.7476642066314,FALSE,70.4481273587036,NA,0.000497172117433134,0.0261669535491123,0.000377421782877008,0.000821549453056046,0.00436115892485206,0.0436115892485206,TRUE,TRUE,0.00748565054094497,0.00129916940501438,0.0431313759428699,0.00748565054094497,0.00129916940501438,0.0431313759428699,NA,0.9,NA,0.268972680447698
"Central African Republic","CAF",4737423,4825711,4920889,5022853,5132270,5247586,5366949,5488896,5612532,5737657,5864322,5992915,6123615,6256230,6390254,6525376,6661223,6797519,6934059,7070780,7207592,7344487,7481447,7618398,7755269,7892097,8028923,8165788,8302674,8439545,8576467,8713528,8850780,8988184,9125699,9263238,9400708,9538009,9675075,9811807,9948080,10083725,10218599,10352590,10485592,10617464,10748050,10877206,11004827,11130808,11255037,11377383,11497740,"CAF","Africa",1,4900274,0.343,40,92544,397074,489618,7.4,21.2,"III","east africa",TRUE,TRUE,0.40332,0.841463414634146,82,"vet","mixed",0.660495295536791,NA,0.6532,966,0.412872392638037,NA,FALSE,FALSE,NA,FALSE,0,NA,NA,5.04564685722299,3.70105794218449,FALSE,21.2092467132088,167.691025010811,0.000415639134602498,0.0218757439264473,0.000315527073451036,0.000686820703993512,0.00364595732107454,0.0364595732107454,FALSE,TRUE,0.000429522259827595,0.000265989028092541,0.000693597675853075,0.00126280619600251,0.000480586534957713,0.00331819427442476,0.660495295536791,0.9,0.00708522495521981,0.0406263200853162
"Chad","TCD",15353184,15814345,16285093,16765714,17255546,17754220,18261067,18775565,19297583,19827182,20364197,20908510,21459963,22018360,22583505,23155184,23733187,24317309,24907304,25502961,26103996,26710161,27321154,27936751,28556669,29180610,29808240,30439253,31073358,31710307,32349847,32991754,33635795,34281678,34929121,35577867,36227662,36878236,37529284,38180514,38831582,39482205,40132054,40780799,41428087,42073511,42716670,43357148,43994610,44628705,45258994,45885021,46506378,"TCD","Africa",1,14037472,0.328,22,148791,1470691,1205361,7.4,21.2,"II","west africa",TRUE,TRUE,0.22618,0.7647,16,"suspected","urban",0.59,963,0.5,86,0.36,334,TRUE,FALSE,NA,FALSE,0,1205361,"mixed",7.05390512581685,5.17452469045677,FALSE,8.053975,83.3659371704296,0.000316168637833102,0.0166404546227948,0.000240015332309566,0.000522451204275739,0.00277340910379914,0.0277340910379914,FALSE,TRUE,0.000685080320929007,0.00036220447959095,0.00129577372056311,0.00201415329295339,0.000813109234318167,0.00498926013417723,0.59,0.9,0.0299595675664145,0.103939559231412
"Chile","CHL",18197209,18336653,18472639,18604946,18733622,18858777,18980612,19099237,19214669,19326710,19434879,19538564,19637321,19730966,19819612,19903549,19983218,20058957,20130836,20198771,20262747,20322700,20378604,20430490,20478413,20522340,20562234,20598059,20629864,20657702,20681629,20701755,20718131,20730842,20739979,20745629,20747901,20746934,20742783,20735566,20725416,20712545,20697074,20679144,20658790,20636061,20610956,20583496,20553726,20521749,20487668,20451607,20413672,"CHL","Americas",0,17948141,0.805,90,2142529,250556,2393085,7.5,7.5,NA,"free",FALSE,FALSE,0.89697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,33.1481728602091,24.3050013546525,FALSE,22.7017785552078,NA,0.000501474120187467,0.0263933747467088,0.0003806875926289,0.000828658274902522,0.00439889579111813,0.0439889579111813,TRUE,TRUE,0.0033712709139327,0.000548584638021407,0.02071780138817,0.0033712709139327,0.000548584638021407,0.02071780138817,NA,0.9,NA,0.110631710942084
"China","CHN",1415045928,1420062022,1424548266,1428480534,1431849651,1434676116,1436995094,1438835697,1440205376,1441105792,1441555143,1441574218,1441181813,1440391650,1439215347,1437667004,1435760478,1433508888,1430922498,1428012154,1424791461,1421274537,1417472814,1413396936,1409051555,1404434236,1399538493,1394361025,1388909186,1383191989,1377210270,1370963871,1364456723,1357698332,1350704050,1343491986,1336083672,1328500912,1320759080,1312877134,1304885395,1296818439,1288706557,1280567920,1272417590,1264278114,1256172116,1248117944,1240129971,1232215578,1224376041,1216607940,1208908827,"CHN","Asia",1,1371220000,0.687,56,15788619,12601029,28389648,48.3,48.3,"II","endemic",FALSE,FALSE,0.56778,NA,NA,NA,NA,NA,NA,NA,NA,0.58,NA,NA,NA,NA,TRUE,NA,NA,NA,4.29063688425616,3.14635244800788,TRUE,8.9841369192018,93.9663085994578,0.0000752051358383999,0.00395816504412631,0.0000570910062217114,0.000124272331549954,0.000659694174021052,0.00659694174021052,TRUE,TRUE,0.00491961003028629,0.00185403260084435,0.0130540114769671,0.00491961003028629,0.00185403260084435,0.0130540114769671,NA,0.9,NA,1
